08/03/2021 Monday 00:04:27 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":1,"user_idx":6,"user_name":"홍길동","user_status":"A","user_tp":"T","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"7","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T07:51:26.000Z"},"userRoom":{"id":120,"user_idx":6,"room_id":14,"host_user":1,"socket_id":null,"update_time":"2021-03-08T00:04:27.000Z","device":0,"status":"1","connecting":1}} | 
08/03/2021 Monday 00:04:32 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":{"id":121,"user_idx":64,"room_id":14,"host_user":0,"socket_id":null,"update_time":"2021-03-08T00:04:32.000Z","device":0,"status":"1","connecting":1}} | 
08/03/2021 Monday 00:04:35 | INFO | warning.log | request to /info | DATA: {"userId":"64","userRoomId":"120"} | LOG_DATA: {"userId":"64","userRoomId":"120"} | 
08/03/2021 Monday 00:04:35 | INFO | warning.log | return response /info | DATA: {"result":true,"data":[],"message":"해당하는 유저 경고 정보"} | LOG_DATA: {"userId":"64","userRoomId":"120"} | 
08/03/2021 Monday 00:04:49 | INFO | main-socket.log | disconnect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":{"id":121,"user_idx":64,"room_id":14,"host_user":0,"socket_id":null,"update_time":"2021-03-08T00:04:32.000Z","device":0,"status":"1","connecting":1}} | 
08/03/2021 Monday 00:04:49 | INFO | main-socket.log | disconnect to socket | DATA: {"user":{"id":1,"user_idx":6,"user_name":"홍길동","user_status":"A","user_tp":"T","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"7","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T07:51:26.000Z"},"userRoom":{"id":120,"user_idx":6,"room_id":14,"host_user":1,"socket_id":null,"update_time":"2021-03-08T00:04:27.000Z","device":0,"status":"1","connecting":1}} | 
08/03/2021 Monday 00:04:49 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":{"id":121,"user_idx":64,"room_id":14,"host_user":0,"socket_id":"i_LpYVV6VkRbgMkAAABf","update_time":"2021-03-08T00:04:32.000Z","device":0,"status":"1","connecting":0}} | 
08/03/2021 Monday 00:06:36 | INFO | main-socket.log | disconnect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":{"id":121,"user_idx":64,"room_id":14,"host_user":0,"socket_id":"i_LpYVV6VkRbgMkAAABf","update_time":"2021-03-08T00:04:32.000Z","device":0,"status":"1","connecting":0}} | 
08/03/2021 Monday 00:06:37 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":24,"user_idx":63,"user_name":"학생29","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"29","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:23.000Z"},"userRoom":{"id":122,"user_idx":63,"room_id":14,"host_user":0,"socket_id":null,"update_time":"2021-03-08T00:06:36.000Z","device":0,"status":"1","connecting":1}} | 
08/03/2021 Monday 00:06:41 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":1,"user_idx":6,"user_name":"홍길동","user_status":"A","user_tp":"T","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"7","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T07:51:26.000Z"},"userRoom":{"id":120,"user_idx":6,"room_id":14,"host_user":1,"socket_id":"YrhndB83UWYIjXFaAABe","update_time":"2021-03-08T00:04:27.000Z","device":0,"status":"1","connecting":0}} | 
08/03/2021 Monday 00:06:58 | INFO | main-socket.log | disconnect to socket | DATA: {"user":{"id":1,"user_idx":6,"user_name":"홍길동","user_status":"A","user_tp":"T","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"7","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T07:51:26.000Z"},"userRoom":{"id":120,"user_idx":6,"room_id":14,"host_user":1,"socket_id":"YrhndB83UWYIjXFaAABe","update_time":"2021-03-08T00:04:27.000Z","device":0,"status":"1","connecting":0}} | 
08/03/2021 Monday 00:06:58 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":1,"user_idx":6,"user_name":"홍길동","user_status":"A","user_tp":"T","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"7","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T07:51:26.000Z"},"userRoom":{"id":120,"user_idx":6,"room_id":14,"host_user":1,"socket_id":"4lchzRWhRKwRiMyHAABi","update_time":"2021-03-08T00:04:27.000Z","device":0,"status":"1","connecting":0}} | 
08/03/2021 Monday 00:07:16 | INFO | main-socket.log | disconnect to socket | DATA: {"user":{"id":24,"user_idx":63,"user_name":"학생29","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"29","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:23.000Z"},"userRoom":{"id":122,"user_idx":63,"room_id":14,"host_user":0,"socket_id":null,"update_time":"2021-03-08T00:06:36.000Z","device":0,"status":"1","connecting":1}} | 
08/03/2021 Monday 00:07:16 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":24,"user_idx":63,"user_name":"학생29","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"29","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:23.000Z"},"userRoom":{"id":122,"user_idx":63,"room_id":14,"host_user":0,"socket_id":"5wPvIaXHd83DlHTRAABh","update_time":"2021-03-08T00:06:36.000Z","device":0,"status":"1","connecting":0}} | 
08/03/2021 Monday 00:07:17 | INFO | warning.log | request to /info | DATA: {"userId":"63","userRoomId":"120"} | LOG_DATA: {"userId":"63","userRoomId":"120"} | 
08/03/2021 Monday 00:07:17 | INFO | warning.log | return response /info | DATA: {"result":true,"data":[],"message":"해당하는 유저 경고 정보"} | LOG_DATA: {"userId":"63","userRoomId":"120"} | 
08/03/2021 Monday 00:07:33 | INFO | course-socket.log | request to /user-lecout-quest | DATA: {"userId":63,"userRoom":{"id":122,"user_idx":63,"room_id":14,"host_user":0,"socket_id":"5wPvIaXHd83DlHTRAABh","update_time":"2021-03-08T00:06:36.000Z","device":0,"status":"1","connecting":0}} | 
08/03/2021 Monday 00:07:35 | INFO | course-socket.log | request to /user-cancel-lecout-quest | DATA: {"userId":63,"userRoom":{"id":122,"user_idx":63,"room_id":14,"host_user":0,"socket_id":"5wPvIaXHd83DlHTRAABh","update_time":"2021-03-08T00:06:36.000Z","device":0,"status":"1","connecting":0}} | 
08/03/2021 Monday 00:07:36 | INFO | course-socket.log | request to /user-request-quest | DATA: {"userId":63,"userRoom":{"id":122,"user_idx":63,"room_id":14,"host_user":0,"socket_id":"5wPvIaXHd83DlHTRAABh","update_time":"2021-03-08T00:06:36.000Z","device":0,"status":"1","connecting":0}} | 
08/03/2021 Monday 00:07:39 | INFO | course-socket.log | request to /user-cancel-request-quest | DATA: {"userId":63,"userRoom":{"id":122,"user_idx":63,"room_id":14,"host_user":0,"socket_id":"5wPvIaXHd83DlHTRAABh","update_time":"2021-03-08T00:06:36.000Z","device":0,"status":"1","connecting":0}} | 
08/03/2021 Monday 00:09:40 | INFO | main-socket.log | disconnect to socket | DATA: {"user":{"id":24,"user_idx":63,"user_name":"학생29","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"29","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:23.000Z"},"userRoom":{"id":122,"user_idx":63,"room_id":14,"host_user":0,"socket_id":"5wPvIaXHd83DlHTRAABh","update_time":"2021-03-08T00:06:36.000Z","device":0,"status":"1","connecting":0}} | 
08/03/2021 Monday 00:09:40 | INFO | main-socket.log | disconnect to socket | DATA: {"user":{"id":1,"user_idx":6,"user_name":"홍길동","user_status":"A","user_tp":"T","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"7","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T07:51:26.000Z"},"userRoom":{"id":120,"user_idx":6,"room_id":14,"host_user":1,"socket_id":"4lchzRWhRKwRiMyHAABi","update_time":"2021-03-08T00:04:27.000Z","device":0,"status":"1","connecting":0}} | 
08/03/2021 Monday 06:58:45 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":1,"user_idx":6,"user_name":"홍길동","user_status":"A","user_tp":"T","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"7","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T07:51:26.000Z"},"userRoom":{"id":123,"user_idx":6,"room_id":15,"host_user":1,"socket_id":null,"update_time":"2021-03-08T06:58:45.000Z","device":0,"status":"1","connecting":1}} | 
08/03/2021 Monday 06:59:53 | INFO | main-socket.log | disconnect to socket | DATA: {"user":{"id":1,"user_idx":6,"user_name":"홍길동","user_status":"A","user_tp":"T","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"7","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T07:51:26.000Z"},"userRoom":{"id":123,"user_idx":6,"room_id":15,"host_user":1,"socket_id":null,"update_time":"2021-03-08T06:58:45.000Z","device":0,"status":"1","connecting":1}} | 
