09/03/2021 Tuesday 00:59:55 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":1,"user_idx":6,"user_name":"홍길동","user_status":"A","user_tp":"T","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"7","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T07:51:26.000Z"},"userRoom":{"id":124,"user_idx":6,"room_id":16,"host_user":1,"socket_id":null,"update_time":"2021-03-09T00:59:55.000Z","device":0,"status":"1","connecting":1}} | 
09/03/2021 Tuesday 01:00:02 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":{"id":125,"user_idx":64,"room_id":16,"host_user":0,"socket_id":null,"update_time":"2021-03-09T01:00:02.000Z","device":0,"status":"1","connecting":1}} | 
09/03/2021 Tuesday 01:00:16 | INFO | main-socket.log | disconnect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":{"id":125,"user_idx":64,"room_id":16,"host_user":0,"socket_id":null,"update_time":"2021-03-09T01:00:02.000Z","device":0,"status":"1","connecting":1}} | 
09/03/2021 Tuesday 01:00:16 | INFO | main-socket.log | disconnect to socket | DATA: {"user":{"id":1,"user_idx":6,"user_name":"홍길동","user_status":"A","user_tp":"T","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"7","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T07:51:26.000Z"},"userRoom":{"id":124,"user_idx":6,"room_id":16,"host_user":1,"socket_id":null,"update_time":"2021-03-09T00:59:55.000Z","device":0,"status":"1","connecting":1}} | 
09/03/2021 Tuesday 01:00:16 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":{"id":125,"user_idx":64,"room_id":16,"host_user":0,"socket_id":"WemvbOarvP1-guuxAACG","update_time":"2021-03-09T01:00:02.000Z","device":0,"status":"1","connecting":0}} | 
09/03/2021 Tuesday 01:00:21 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":1,"user_idx":6,"user_name":"홍길동","user_status":"A","user_tp":"T","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"7","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T07:51:26.000Z"},"userRoom":{"id":124,"user_idx":6,"room_id":16,"host_user":1,"socket_id":"AR_uTZkkF7ACm_qCAACF","update_time":"2021-03-09T00:59:55.000Z","device":0,"status":"1","connecting":0}} | 
09/03/2021 Tuesday 01:00:45 | INFO | main-socket.log | disconnect to socket | DATA: {"user":{"id":1,"user_idx":6,"user_name":"홍길동","user_status":"A","user_tp":"T","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"7","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T07:51:26.000Z"},"userRoom":{"id":124,"user_idx":6,"room_id":16,"host_user":1,"socket_id":"AR_uTZkkF7ACm_qCAACF","update_time":"2021-03-09T00:59:55.000Z","device":0,"status":"1","connecting":0}} | 
09/03/2021 Tuesday 01:00:45 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":1,"user_idx":6,"user_name":"홍길동","user_status":"A","user_tp":"T","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"7","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T07:51:26.000Z"},"userRoom":{"id":124,"user_idx":6,"room_id":16,"host_user":1,"socket_id":"tPg5caPR-tWQkY_XAACI","update_time":"2021-03-09T00:59:55.000Z","device":0,"status":"1","connecting":0}} | 
09/03/2021 Tuesday 01:00:48 | INFO | main-socket.log | disconnect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":{"id":125,"user_idx":64,"room_id":16,"host_user":0,"socket_id":"WemvbOarvP1-guuxAACG","update_time":"2021-03-09T01:00:02.000Z","device":0,"status":"1","connecting":0}} | 
09/03/2021 Tuesday 01:00:48 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":{"id":125,"user_idx":64,"room_id":16,"host_user":0,"socket_id":"ZUMXfgjzC077rz8ZAACH","update_time":"2021-03-09T01:00:02.000Z","device":0,"status":"1","connecting":0}} | 
09/03/2021 Tuesday 01:00:56 | INFO | course-socket.log | request to /user-lecout-quest | DATA: {"userId":64,"userRoom":{"id":125,"user_idx":64,"room_id":16,"host_user":0,"socket_id":"ZUMXfgjzC077rz8ZAACH","update_time":"2021-03-09T01:00:02.000Z","device":0,"status":"1","connecting":0}} | 
